HP3458A
=======
HP3458A
REV 4,1
OPT 0,0
"  .         V DC"
CALNUM 2562
 5.00000000E+00, high speed gain initial value 103 
 5.00461593E+00, high speed gain valid cal value 103 
 5.15000000E+00, high speed gain upper limit 103 
 4.85000000E+00, high speed gain lower limit 103 
 0.0000000E+00, il initial value 104 
 67.8252765E-12, il valid cal value 104 
 50.0000000E-09, il upper limit 104 
-100.000000E-12, il lower limit 104 
 0.0000000E+00, il2 initial value 105 
-5.84254677E-12, il2 valid cal value 105 
 200.000000E-12, il2 upper limit 105 
-200.000000E-12, il2 lower limit 105 
 10.0000000E+06, rin initial value 106 
 10.0047499E+06, rin valid cal value 106 
 10.3000000E+06, rin upper limit 106 
 9.70000000E+06, rin lower limit 106 
 0.0000000E+00, low aperture initial value 107 
-5.01537182E-03, low aperture valid cal value 107 
 1.00000000E+00, low aperture upper limit 107 
-1.00000000E+00, low aperture lower limit 107 
 0.0000000E+00, high aperture initial value 108 
-24.7055637E-03, high aperture valid cal value 108 
 1.00000000E+00, high aperture upper limit 108 
-1.00000000E+00, high aperture lower limit 108 
 1.00000000E+00, high aperture slope .01 PLC initial value 109 
 999.998915E-03, high aperture slope .01 PLC valid cal value 109 
 1.00100000E+00, high aperture slope .01 PLC upper limit 109 
 999.000000E-03, high aperture slope .01 PLC lower limit 109 
 1.00000000E+00, high aperture slope .1 PLC initial value 110 
 1.00000000E+00, high aperture slope .1 PLC valid cal value 110 
 1.00100000E+00, high aperture slope .1 PLC upper limit 110 
 999.000000E-03, high aperture slope .1 PLC lower limit 110 
 1.66700000E+03, high aperture null .01 PLC  initial value 111 
 1.66699149E+03, high aperture null .01 PLC  valid cal value 111 
 1.66800000E+03, high aperture null .01 PLC  upper limit 111 
 1.66600000E+03, high aperture null .01 PLC  lower limit 111 
 16.6670000E+03, high aperture null .1 PLC initial value 112 
 16.6669752E+03, high aperture null .1 PLC valid cal value 112 
 16.6680000E+03, high aperture null .1 PLC upper limit 112 
 16.6660000E+03, high aperture null .1 PLC lower limit 112 
5000, underload dcv 100mV initial value 113 
